fecha,municipio,promedio_pm25,promedio_pm10,promedio_o3,promedio_no2,ica_promedio_pm25,casos_sari_inusitada,casos_misc_pediatrico,casos_totales_respiratorios,pm25_media_movil_7d,pm25_media_movil_30d,categoria_ica_pm25,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_4,pm25_lag_5,pm25_lag_6,pm25_lag_7,poblacion_estimada,tasa_sari_por_100k,tasa_total_por_100k
2023-10-08,BARBOSA,10.58,23.1,14.06,8.42,44.1,0,0,0,17.59,15.5,Buena,11.38,17.44,22.04,21.92,19.9,19.87,14.85,55000,0.0,0.0
2023-10-09,BARBOSA,18.05,42.78,20.98,14.48,62.1,0,0,0,17.33,15.8,Regular / Aceptable,10.58,11.38,17.44,22.04,21.92,19.9,19.87,55000,0.0,0.0
2023-10-10,BARBOSA,20.92,44.48,15.95,14.5,67.8,0,0,0,17.48,16.09,Regular / Aceptable,18.05,10.58,11.38,17.44,22.04,21.92,19.9,55000,0.0,0.0
2023-10-11,BARBOSA,17.97,34.75,25.84,14.86,61.9,0,0,0,16.91,16.19,Regular / Aceptable,20.92,18.05,10.58,11.38,17.44,22.04,21.92,55000,0.0,0.0
2023-10-12,BARBOSA,17.0,30.27,20.76,11.09,60.0,0,0,0,16.19,16.25,Regular / Aceptable,17.97,20.92,18.05,10.58,11.38,17.44,22.04,55000,0.0,0.0
2023-10-13,BARBOSA,18.46,32.54,20.4,15.4,62.9,0,0,0,16.34,16.25,Regular / Aceptable,17.0,17.97,20.92,18.05,10.58,11.38,17.44,55000,0.0,0.0
2023-10-14,BARBOSA,11.94,18.57,11.21,10.75,49.8,0,0,0,16.42,16.14,Buena,18.46,17.0,17.97,20.92,18.05,10.58,11.38,55000,0.0,0.0
2023-10-15,BARBOSA,14.24,25.43,18.9,9.14,54.5,0,0,0,16.94,16.08,Regular / Aceptable,11.94,18.46,17.0,17.97,20.92,18.05,10.58,55000,0.0,0.0
2023-10-16,BARBOSA,20.24,38.45,19.74,12.36,66.5,0,0,0,17.25,16.3,Regular / Aceptable,14.24,11.94,18.46,17.0,17.97,20.92,18.05,55000,0.0,0.0
2023-10-17,BARBOSA,18.47,38.88,17.5,11.34,62.9,0,0,0,16.9,16.58,Regular / Aceptable,20.24,14.24,11.94,18.46,17.0,17.97,20.92,55000,0.0,0.0
2023-10-18,BARBOSA,16.96,31.78,18.47,12.95,59.9,0,0,0,16.76,16.65,Regular / Aceptable,18.47,20.24,14.24,11.94,18.46,17.0,17.97,55000,0.0,0.0
2023-10-19,BARBOSA,18.07,33.82,10.36,13.52,62.1,0,0,0,16.91,16.65,Regular / Aceptable,16.96,18.47,20.24,14.24,11.94,18.46,17.0,55000,0.0,0.0
2023-10-20,BARBOSA,18.96,31.46,11.76,13.81,63.9,0,0,0,16.98,16.86,Regular / Aceptable,18.07,16.96,18.47,20.24,14.24,11.94,18.46,55000,0.0,0.0
2023-10-21,BARBOSA,16.74,37.99,26.29,7.23,59.5,0,0,0,17.67,16.91,Regular / Aceptable,18.96,18.07,16.96,18.47,20.24,14.24,11.94,55000,0.0,0.0
2023-10-22,BARBOSA,13.53,28.63,22.02,10.43,53.1,0,0,0,17.57,16.81,Regular / Aceptable,16.74,18.96,18.07,16.96,18.47,20.24,14.24,55000,0.0,0.0
2023-10-23,BARBOSA,17.4,39.05,20.7,11.28,60.8,0,0,0,17.16,17.03,Regular / Aceptable,13.53,16.74,18.96,18.07,16.96,18.47,20.24,55000,0.0,0.0
2023-10-24,BARBOSA,21.23,41.34,24.35,12.13,68.5,0,0,0,17.56,17.18,Regular / Aceptable,17.4,13.53,16.74,18.96,18.07,16.96,18.47,55000,0.0,0.0
2023-10-25,BARBOSA,15.43,30.22,16.36,13.09,56.9,0,0,0,17.34,17.11,Regular / Aceptable,21.23,17.4,13.53,16.74,18.96,18.07,16.96,55000,0.0,0.0
2023-10-26,BARBOSA,18.46,35.59,22.8,13.83,62.9,0,0,0,17.39,17.16,Regular / Aceptable,15.43,21.23,17.4,13.53,16.74,18.96,18.07,55000,0.0,0.0
2023-10-27,BARBOSA,19.31,42.15,16.81,13.93,64.6,0,0,0,17.44,17.26,Regular / Aceptable,18.46,15.43,21.23,17.4,13.53,16.74,18.96,55000,0.0,0.0
2023-10-28,BARBOSA,18.26,35.17,16.79,9.08,62.5,0,0,0,17.66,17.38,Regular / Aceptable,19.31,18.46,15.43,21.23,17.4,13.53,16.74,55000,0.0,0.0
2023-10-29,BARBOSA,13.95,35.4,5.56,11.61,53.9,0,0,0,17.72,17.28,Regular / Aceptable,18.26,19.31,18.46,15.43,21.23,17.4,13.53,55000,0.0,0.0
2023-10-30,BARBOSA,19.06,37.95,20.09,13.84,64.1,0,0,0,17.96,17.42,Regular / Aceptable,13.95,18.26,19.31,18.46,15.43,21.23,17.4,55000,0.0,0.0
2023-10-31,BARBOSA,18.34,33.8,18.36,13.55,62.7,0,0,0,17.54,17.54,Regular / Aceptable,19.06,13.95,18.26,19.31,18.46,15.43,21.23,55000,0.0,0.0
2023-11-01,BARBOSA,20.56,44.03,14.03,12.12,67.1,0,0,0,18.28,17.56,Regular / Aceptable,18.34,19.06,13.95,18.26,19.31,18.46,15.43,55000,0.0,0.0
2023-11-02,BARBOSA,20.9,36.69,20.9,14.03,67.8,0,0,0,18.63,17.59,Regular / Aceptable,20.56,18.34,19.06,13.95,18.26,19.31,18.46,55000,0.0,0.0
2023-11-03,BARBOSA,20.26,42.22,16.86,10.26,66.5,0,0,0,18.76,17.54,Regular / Aceptable,20.9,20.56,18.34,19.06,13.95,18.26,19.31,55000,0.0,0.0
2023-11-04,BARBOSA,15.13,22.85,14.7,8.16,56.3,0,0,0,18.31,17.31,Regular / Aceptable,20.26,20.9,20.56,18.34,19.06,13.95,18.26,55000,0.0,0.0
2023-11-05,BARBOSA,12.08,24.18,14.99,8.49,50.2,0,0,0,18.05,17.13,Regular / Aceptable,15.13,20.26,20.9,20.56,18.34,19.06,13.95,55000,0.0,0.0
2023-11-06,BARBOSA,21.06,35.63,20.15,12.14,68.1,0,0,0,18.33,17.45,Regular / Aceptable,12.08,15.13,20.26,20.9,20.56,18.34,19.06,55000,0.0,0.0
2023-11-07,BARBOSA,19.49,36.56,21.39,12.66,65.0,0,0,0,18.5,17.75,Regular / Aceptable,21.06,12.08,15.13,20.26,20.9,20.56,18.34,55000,0.0,0.0
2023-11-08,BARBOSA,20.99,35.53,20.99,12.99,68.0,0,0,0,18.56,17.85,Regular / Aceptable,19.49,21.06,12.08,15.13,20.26,20.9,20.56,55000,0.0,0.0
2023-11-09,BARBOSA,19.58,32.95,22.2,11.32,65.2,0,0,0,18.37,17.8,Regular / Aceptable,20.99,19.49,21.06,12.08,15.13,20.26,20.9,55000,0.0,0.0
2023-11-10,BARBOSA,19.52,40.87,17.13,10.62,65.0,0,0,0,18.26,17.85,Regular / Aceptable,19.58,20.99,19.49,21.06,12.08,15.13,20.26,55000,0.0,0.0
2023-11-11,BARBOSA,16.32,35.48,18.49,9.72,58.6,0,0,0,18.43,17.83,Regular / Aceptable,19.52,19.58,20.99,19.49,21.06,12.08,15.13,55000,0.0,0.0
2023-11-12,BARBOSA,13.72,36.24,13.87,11.39,53.4,0,0,0,18.67,17.67,Regular / Aceptable,16.32,19.52,19.58,20.99,19.49,21.06,12.08,55000,0.0,0.0
2023-11-13,BARBOSA,20.47,40.36,9.14,7.55,66.9,0,0,0,18.58,17.96,Regular / Aceptable,13.72,16.32,19.52,19.58,20.99,19.49,21.06,55000,0.0,0.0
2023-11-14,BARBOSA,20.33,46.58,13.57,12.56,66.7,0,0,0,18.7,18.16,Regular / Aceptable,20.47,13.72,16.32,19.52,19.58,20.99,19.49,55000,0.0,0.0
2023-11-15,BARBOSA,17.78,30.23,17.73,10.98,61.6,0,0,0,18.25,18.08,Regular / Aceptable,20.33,20.47,13.72,16.32,19.52,19.58,20.99,55000,0.0,0.0
2023-11-16,BARBOSA,21.11,39.4,15.87,16.95,68.2,0,0,0,18.46,18.17,Regular / Aceptable,17.78,20.33,20.47,13.72,16.32,19.52,19.58,55000,0.0,0.0
2023-11-17,BARBOSA,22.13,38.63,10.42,11.43,70.3,0,0,0,18.84,18.34,Regular / Aceptable,21.11,17.78,20.33,20.47,13.72,16.32,19.52,55000,0.0,0.0
2023-11-18,BARBOSA,15.77,33.31,18.51,11.15,57.5,0,0,0,18.76,18.26,Regular / Aceptable,22.13,21.11,17.78,20.33,20.47,13.72,16.32,55000,0.0,0.0
2023-11-19,BARBOSA,16.66,30.7,11.29,9.21,59.3,0,0,0,19.18,18.19,Regular / Aceptable,15.77,22.13,21.11,17.78,20.33,20.47,13.72,55000,0.0,0.0
2023-11-20,BARBOSA,14.86,31.7,16.41,15.49,55.7,0,0,0,18.38,18.12,Regular / Aceptable,16.66,15.77,22.13,21.11,17.78,20.33,20.47,55000,0.0,0.0
2023-11-21,BARBOSA,20.52,37.31,19.48,14.15,67.0,0,0,0,18.4,18.36,Regular / Aceptable,14.86,16.66,15.77,22.13,21.11,17.78,20.33,55000,0.0,0.0
2023-11-22,BARBOSA,18.83,33.8,21.33,14.34,63.7,0,0,0,18.55,18.4,Regular / Aceptable,20.52,14.86,16.66,15.77,22.13,21.11,17.78,55000,0.0,0.0
2023-11-23,BARBOSA,19.65,47.87,26.98,14.49,65.3,0,0,0,18.35,18.35,Regular / Aceptable,18.83,20.52,14.86,16.66,15.77,22.13,21.11,55000,0.0,0.0
2023-11-24,BARBOSA,19.51,28.74,19.15,13.64,65.0,0,0,0,17.97,18.49,Regular / Aceptable,19.65,18.83,20.52,14.86,16.66,15.77,22.13,55000,0.0,0.0
2023-11-25,BARBOSA,13.74,26.21,22.67,10.89,53.5,0,0,0,17.68,18.33,Regular / Aceptable,19.51,19.65,18.83,20.52,14.86,16.66,15.77,55000,0.0,0.0
2023-11-26,BARBOSA,14.95,27.89,17.59,8.21,55.9,0,0,0,17.44,18.18,Regular / Aceptable,13.74,19.51,19.65,18.83,20.52,14.86,16.66,55000,0.0,0.0
2023-11-27,BARBOSA,20.05,33.36,20.48,14.19,66.1,0,0,0,18.18,18.24,Regular / Aceptable,14.95,13.74,19.51,19.65,18.83,20.52,14.86,55000,0.0,0.0
2023-11-28,BARBOSA,23.27,49.41,18.62,12.1,72.5,0,0,0,18.57,18.55,Regular / Aceptable,20.05,14.95,13.74,19.51,19.65,18.83,20.52,55000,0.0,0.0
2023-11-29,BARBOSA,17.76,31.98,21.34,14.84,61.5,0,0,0,18.42,18.51,Regular / Aceptable,23.27,20.05,14.95,13.74,19.51,19.65,18.83,55000,0.0,0.0
2023-11-30,BARBOSA,23.45,48.38,20.31,11.95,72.9,0,0,0,18.96,18.68,Regular / Aceptable,17.76,23.27,20.05,14.95,13.74,19.51,19.65,55000,0.0,0.0
2023-12-01,BARBOSA,17.37,30.26,14.92,15.8,60.7,0,0,0,18.66,18.58,Regular / Aceptable,23.45,17.76,23.27,20.05,14.95,13.74,19.51,55000,0.0,0.0
2023-12-02,BARBOSA,10.8,23.7,14.14,8.57,45.0,0,0,0,18.24,18.24,Buena,17.37,23.45,17.76,23.27,20.05,14.95,13.74,55000,0.0,0.0
2023-12-03,BARBOSA,10.89,20.67,15.45,9.84,45.4,0,0,0,17.66,17.93,Buena,10.8,17.37,23.45,17.76,23.27,20.05,14.95,55000,0.0,0.0
2023-12-04,BARBOSA,16.89,34.21,14.85,13.26,59.8,0,0,0,17.2,17.98,Regular / Aceptable,10.89,10.8,17.37,23.45,17.76,23.27,20.05,55000,0.0,0.0
2023-12-05,BARBOSA,16.25,29.06,11.78,16.36,58.5,0,0,0,16.2,18.12,Regular / Aceptable,16.89,10.89,10.8,17.37,23.45,17.76,23.27,55000,0.0,0.0
2023-12-06,BARBOSA,13.43,31.89,10.75,14.53,52.9,0,0,0,15.58,17.87,Regular / Aceptable,16.25,16.89,10.89,10.8,17.37,23.45,17.76,55000,0.0,0.0
2023-12-07,BARBOSA,16.94,24.71,17.12,15.43,59.9,0,0,0,14.65,17.78,Regular / Aceptable,13.43,16.25,16.89,10.89,10.8,17.37,23.45,55000,0.0,0.0
2023-12-08,BARBOSA,15.15,35.17,9.02,16.26,56.3,0,0,0,14.34,17.59,Regular / Aceptable,16.94,13.43,16.25,16.89,10.89,10.8,17.37,55000,0.0,0.0
2023-12-09,BARBOSA,9.83,19.09,15.2,10.18,41.0,0,0,0,14.2,17.26,Buena,15.15,16.94,13.43,16.25,16.89,10.89,10.8,55000,0.0,0.0
2023-12-10,BARBOSA,13.45,19.61,8.62,8.36,52.9,0,0,0,14.56,17.06,Regular / Aceptable,9.83,15.15,16.94,13.43,16.25,16.89,10.89,55000,0.0,0.0
2023-12-11,BARBOSA,16.97,32.8,17.3,14.2,59.9,0,0,0,14.57,17.08,Regular / Aceptable,13.45,9.83,15.15,16.94,13.43,16.25,16.89,55000,0.0,0.0
2023-12-12,BARBOSA,17.08,33.03,19.49,11.6,60.2,0,0,0,14.69,17.2,Regular / Aceptable,16.97,13.45,9.83,15.15,16.94,13.43,16.25,55000,0.0,0.0
